ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
1	De Kempenaerstraat 3	Bom, granaat, afweergeschut	03/05/1943	1 niet-ontplofte bom. Op 7 mei opgeruimd		POINT(4.869362 52.382008)	4,869362	52,382008
2	Klaprozenweg 71	Bom, granaat, afweergeschut	03/05/1943	7 bommen. Wegdek beschadigd		POINT(4.900234 52.400869)	4,900234	52,400869
3	Nassaukade 72	Bom, granaat, afweergeschut	03/05/1943	Getroffen door niet-ontplofte granaat van het afweergeschut 		POINT(4.87647 52.376979)	4,87647	52,376979
4	Orteliusstraat 303/hs	Vliegtuig(onderdeel) neergestort	04/05/1943	Onderdelen van een Engels vliegtuig neergekomen		POINT(4.84747 52.37304)	4,84747	52,37304
5	Oostzanerdijk 180	Bom, granaat, afweergeschut	05/05/1943	2 cm granaat van het luchtdoelgeschut gevonden		POINT(4.86458 52.430169)	4,86458	52,430169
6	Archimedesweg 89	Overig	13/05/1943	Lichtkogel door het dak geslagen. Gat in het dak.  Geen persoonlijke ongelukken		POINT(4.940452 52.355389)	4,940452	52,355389
7	Valentijnkade 31/III	Overig	13/05/1943	Vermoedelijk een onderdeel van een landingsgestel door het dak geslagen en op het portaal terechtgekomen. Plafond beschadigd. Geen persoonlijke ongelukken		POINT(4.940346 52.35866)	4,940346	52,35866
8	Eerste van Swindenstraat 1/hs	Bom, granaat, afweergeschut	13/05/1943	[Granaat?]scherf. Spiegelruit totaal vernield		POINT(4.924484 52.362212)	4,924484	52,362212
9	Durgerdammerdijk 30	Vliegtuig(onderdeel) neergestort	13/05/1943	Stuk van een vliegtuig gevonden. meerdere stukken liggen nog in de omgeving		POINT(4.985874 52.375746)	4,985874	52,375746
10	Zuiderzeepark 100	Bom, granaat, afweergeschut	13/05/1943	Enkele brandbommen en delen van een vliegtuig neergekomen. 4 lijken van Engelse vliegeniers 		POINT(4.955362 52.387511)	4,955362	52,387511
11	Koenenkade 8	Overig	16/05/1943	2 tijdmijnen gevonden. `Tijdstip afwerpen niet bekend, direct gevaar niet aanwezig. De afzetting van de toegang tot het Boschplan is door de politie in overleg met de Duitsche Weermacht geregeld.`		POINT(4.852352 52.331009)	4,852352	52,331009
12	Trompenburgstraat 36/III	Bom, granaat, afweergeschut	17/05/1943	Bomsplinter. De heer Heiman Content door een bomsplinter in zijn woning gedood		POINT(4.905509 52.343981)	4,905509	52,343981
13	Orteliuskade 18	Bom, granaat, afweergeschut	12/06/1943	Granaat van het luchtdoelgeschut door het dak geslagen en in het trappenhuis geëxplodeerd. Ernstige schade aan trappenhuis, meubilair en muren. Geen persoonlijke ongelukken en geen brand		POINT(4.8503 52.36606)	4,8503	52,36606
14	Meeuwenlaan 60	Bom, granaat, afweergeschut	12/06/1943	Granaat van het afweergeschut neergekomen en ontploft. Schade aan verschillende gebouwen van de ADM. `in totaal zijn 230 ruiten gesprongen, 16 deuren en een groot aantal verduisteringsgordijnen vernield. De totale schade wordt op plm. f. 10.000,- geraamd.`		POINT(4.916883 52.384058)	4,916883	52,384058
15	Van Eeghenlaan 35	Bom, granaat, afweergeschut	16/06/1943	Niet-ontplofte granaat van het luchtdoelgeschut ingeslagen. Aanzienlijke schade aan het dak, de tweede verdieping en het meubilair 		POINT(4.874104 52.358023)	4,874104	52,358023
16	Prins hendrikkade 108	Overig	19/06/1943	Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen. Kleine brand, direct geblust		POINT(4.903884 52.37464)	4,903884	52,37464
17	Geldersekade 19	Overig	19/06/1943	Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen		POINT(4.902538 52.375534)	4,902538	52,375534
18	Van Oldenbarneveldtstraat 34/I	Overig	19/06/1943	Glazen bolletjes gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen?		POINT(4.87508 52.376524)	4,87508	52,376524
19	Jan van Galenstraat 4	Overig	19/06/1943	4 glazen bolletjes gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen		POINT(4.867491 52.376248)	4,867491	52,376248
20	Van der Pekstraat 47, 49, 51, 53, 55, 57, 42, 44	Omgevingsschade	17/07/1943	Van der Pekstraat 47, 49, 51, 53, 55, 57, 42, 44 volkomen vernietigd, alle nummers (even en oneven) zware glas- en dakschade	010003049123.jpg	POINT(4.909067 52.388403)	4,909067	52,388403
21	Lavendelstraat 1	Omgevingsschade	17/07/1943	Lavendelstraat 1, 3: zware glas- en dakschade		POINT(4.909076 52.390237)	4,909076	52,390237
22	Lupineplein 2	Omgevingsschade	17/07/1943	Lupinenplein: alle nummers zware glas- en dakschade		POINT(4.908859 52.389993)	4,908859	52,389993
23	Ganzebloemstraat 6	Omgevingsschade	17/07/1943	Ganzebloemstraat 6 totaal vernietigd, alle nummers glas- en dakschade		POINT(4.908903 52.389966)	4,908903	52,389966
24	Dovenetelstraat 2-20 en 35	Omgevingsschade	17/07/1943	Dovenetelstraat 2-20 en 35: zware glas- en dakschade		POINT(4.907098 52.389797)	4,907098	52,389797
25	Meidoornplein 5	Omgevingsschade	17/07/1943	Meidoornplein 5 vernietigd		POINT(4.910678 52.387412)	4,910678	52,387412
26	Meidoornplein 3	Omgevingsschade	17/07/1943	Meidoornweg 3 vernietigd, alle nummers zware glas- en dakschade		POINT(4.910723 52.387367)	4,910723	52,387367
27	Begoniastraat 2	Omgevingsschade	17/07/1943	Begoniastraat 2 vernietigd, alle nummers zware glas- en dakschade		POINT(4.910065 52.387131)	4,910065	52,387131
28	Laanweg 20A, B, C, D, E, F	Omgevingsschade	17/07/1943	Laanweg 20, 20a, 20b, 20c vernietigd. 20d, 20e, 20f zwaar beschadigd	010003049135.jpg	POINT(4.907846 52.385846)	4,907846	52,385846
29	Laanweg 22A, B, C, D	Omgevingsschade	17/07/1943	Laanweg 22 zwaar beschadigd. 22a en 22b vernietigd. 22c en 22d zwaar beschadigd	010003049135.jpg	POINT(4.907875 52.385873)	4,907875	52,385873
30	Lupineplein 25	Omgevingsschade	17/07/1943	Lupinenplein 25 vernietigd		POINT(4.907857 52.390232)	4,907857	52,390232
31	Hagedoornplein 2	Omgevingsschade	17/07/1943	Hagedoornplein: St. Ritakerk voltreffer midscheeps, zware schade. St. Rosaklooster gedeeltelijk vernietigd	B00000029609.jpg	POINT(4.913947 52.38809)	4,913947	52,38809
32	Meeuwenlaan 259	Omgevingsschade	17/07/1943	Meeuwenlaan 259 vernietigd		POINT(4.922682 52.387127)	4,922682	52,387127
33	Meeuwenlaan 261-263	Omgevingsschade	17/07/1943	Meeuwenlaan 261 en 263 zwaar beschadigd		POINT(4.922741 52.387172)	4,922741	52,387172
34	Fazantenweg 15, 26, 28	Omgevingsschade	17/07/1943	Fazantenweg 15, 26, 28 vernietigd		POINT(4.920131 52.388115)	4,920131	52,388115
35	Adelaarsweg 66	Omgevingsschade	03/07/1943	Adelaarsweg 66 gedeeltelijk vernietigd. vanaf Kraaienplein tot einde (Nieuwendammerdijk) zware glas- en dakschade. Het politiebureau Adelaarsweg. 19 juli  Doet aangifte dhr Gort, arbeider, woont Ranonkelkade 13, van diefstal gepleegd in zijn woning voormiddags tusschen 10 en 11 uur, van een blikken sigarendoos inh: 5 bank biljetten a f 10,- 4 muntbiljetten a f 2,50 en diverse distributiebescheiden. Tevens worden door hem een paar zoo goed als nieuwe werkschoenen vermist. Gort heeft geen vermoeden. Zal door recherche verder worden behandeld.   Brengt de O.w. v/d Aar vanaf gebouw Nieuwendammerham op last van rech. Bakker tterz. Plunderen in het rampgebied: Dhr. Kohlberg, grondwerker. Hij blijft in bewaring. Wordt Kohlberg gen. In vorige mut. Daar van misdrijf niks is kunnen blijken n.t.z.l.h. op last van chef recherche, heen gezonden.  20 juli   Hoekstra, 56 jaar, portier, won. Eschdoornplein 27 doet aangifte dat heden tuschen 12 en 5 uur de tengevolge van het bombardement verlaten woning, de elektriciteitsmeter door onbevoegden is verbroken en geledigd.  Mevrouw Reusch, Won. Kievitsstraat 17 doet aangifte dat na de vlucht uit haar woning zijn ontvreemd alle distributiebescheiden van het gezin, man vrouw en twee kinderen. De stamkaarten met de inlegvellen zijn in de omgeving teruggevonden.  Dhr. Scholtheis, speeltuinopzichter, wonende Koekoekstraat 14 doet aangifte dat tuschen 17 en 19 dezer nadat hij zijn onbeschadigde woning inderhaast verlaten, door onbevoegden daaruit, hetzij door inklimming door een ongesloten raam, is ontvreemd e paar schoenen, ( 1 heeren en 1 dames en 1 kinder-) een heerenkostuum, eenig ondergoed en 1 radiotoestel.  Dhr van Vugt, lasscher, woont Paramaribostraat 42, doet aangifte dat tijdens hulpverleening bij den bomaanval op 17-7-1943 vier actetasschen zijn ontvreemd, inhoudende brodd- werksloven en boeken.  Dhr. De Smit, cantinehouder, woont varenweg 3, doet aangifte dat op 17-7-1943 van de goederen welke tijdelijk waren opgeslagen uit verwoeste woningen door het bombardement, diverse goederen zijn ontv. Waaronder meer een grijs heerenkostuum. De inhoud van een damestascheen pakje shag en eenige horloges.  Brengt de rech. Bakker Dhr. De Jong, dekknecht. Hij blijft in bewaring als verdacht van plundering van door bominslag getroffen woningen. (Diefstal van zilveren heeren horloge)	010003049127.jpg	POINT(4.915505 52.386578)	4,915505	52,386578
36	Spechtstraat 30	Omgevingsschade	03/07/1943	Spechtstraat 30 vernietigd, alle nummers zware glas- en dakschade		POINT(4.919204 52.386808)	4,919204	52,386808
37	Varenweg 2	Omgevingsschade	03/07/1943	In het Noord-Hollands Kanaal achter het politiebureau een schip getroffen en gezonken		POINT(4.916926 52.389738)	4,916926	52,389738
38	Asterweg 39-43	Omgevingsschade	03/07/1943	Timmerfabriek Rietveld		POINT(4.902444 52.392205)	4,902444	52,392205
